 400.0 -100.   4.4186   5.6847   5.6389
 420.0   31.   1.0009   1.0003   0.9997
 420.0   32.   1.0024   1.0003   1.0005
 420.0   33.   1.0044   1.0006   1.0003
 420.0   34.   1.0050   1.0015   1.0013
 420.0   35.   1.0080   1.0019   1.0012
 420.0   36.   1.0096   1.0027   1.0022
 420.0   37.   1.0116   1.0039   1.0029
 420.0   38.   1.0123   1.0047   1.0039
 420.0   39.   1.0152   1.0057   1.0046
 420.0   40.   1.0167   1.0063   1.0056
 420.0   41.   1.0187   1.0073   1.0061
 420.0   42.   1.0209   1.0086   1.0078
 420.0   43.   1.0237   1.0103   1.0091
 420.0   44.   1.0268   1.0113   1.0098
 420.0   45.   1.0283   1.0127   1.0117
 420.0   46.   1.0302   1.0145   1.0132
 420.0   47.   1.0346   1.0166   1.0149
 420.0   48.   1.0372   1.0181   1.0160
 420.0   49.   1.0379   1.0198   1.0174
 420.0   50.   1.0413   1.0219   1.0193
 420.0   51.   1.0451   1.0233   1.0214
 420.0   52.   1.0468   1.0248   1.0237
 420.0   53.   1.0513   1.0279   1.0255
 420.0   54.   1.0538   1.0302   1.0275
 420.0   55.   1.0566   1.0316   1.0299
 420.0   56.   1.0598   1.0345   1.0315
 420.0   57.   1.0633   1.0365   1.0344
 420.0   58.   1.0646   1.0388   1.0366
 420.0   59.   1.0687   1.0414   1.0390
 420.0   60.   1.0706   1.0443   1.0418
 420.0   61.   1.0754   1.0475   1.0448
 420.0   62.   1.0779   1.0497   1.0482
 420.0   63.   1.0807   1.0535   1.0507
 420.0   64.   1.0837   1.0563   1.0534
 420.0   65.   1.0871   1.0594   1.0577
 420.0   66.   1.0908   1.0627   1.0610
 420.0   67.   1.0948   1.0664   1.0647
 420.0   68.   1.0991   1.0703   1.0673
 420.0   69.   1.1037   1.0746   1.0716
 420.0   70.   1.1086   1.0792   1.0760
 420.0   71.   1.1107   1.0825   1.0796
 420.0   72.   1.1163   1.0877   1.0847
 420.0   73.   1.1223   1.0917   1.0887
 420.0   74.   1.1252   1.0959   1.0931
 420.0   75.   1.1318   1.1021   1.0993
 420.0   76.   1.1353   1.1069   1.1043
 420.0   77.   1.1427   1.1121   1.1095
 420.0   78.   1.1468   1.1176   1.1152
 420.0   79.   1.1548   1.1235   1.1211
 420.0   80.   1.1596   1.1296   1.1274
 420.0   81.   1.1684   1.1361   1.1324
 420.0   82.   1.1739   1.1430   1.1394
 420.0   83.   1.1836   1.1502   1.1467
 420.0   84.   1.1898   1.1579   1.1545
 420.0   85.   1.2004   1.1639   1.1608
 420.0   86.   1.2073   1.1723   1.1693
 420.0   87.   1.2189   1.1811   1.1783
