 400.0 -100.   9.0729  11.6725  11.5785
 420.0   59.   1.5351   1.4958   1.4924
 420.0   60.   1.5539   1.5157   1.5121
 420.0   61.   1.5771   1.5361   1.5322
 420.0   62.   1.5970   1.5551   1.5529
 420.0   63.   1.6173   1.5766   1.5724
 420.0   64.   1.6382   1.5967   1.5924
 420.0   65.   1.6597   1.6173   1.6148
 420.0   66.   1.6817   1.6384   1.6358
 420.0   67.   1.7043   1.6601   1.6575
 420.0   68.   1.7275   1.6823   1.6776
 420.0   69.   1.7514   1.7052   1.7004
 420.0   70.   1.7759   1.7287   1.7237
 420.0   71.   1.7960   1.7503   1.7456
 420.0   72.   1.8218   1.7751   1.7702
 420.0   73.   1.8484   1.7980   1.7932
 420.0   74.   1.8702   1.8215   1.8169
 420.0   75.   1.8982   1.8483   1.8436
 420.0   76.   1.9212   1.8731   1.8686
 420.0   77.   1.9508   1.8986   1.8942
 420.0   78.   1.9751   1.9248   1.9206
 420.0   79.   2.0063   1.9518   1.9477
 420.0   80.   2.0321   1.9795   1.9756
 420.0   81.   2.0651   2.0080   2.0015
 420.0   82.   2.0924   2.0373   2.0309
 420.0   83.   2.1275   2.0675   2.0613
 420.0   84.   2.1565   2.0987   2.0926
 420.0   85.   2.1938   2.1271   2.1215
 420.0   86.   2.2246   2.1601   2.1547
 420.0   87.   2.2643   2.1941   2.1889
